text,label
Reminder: Your appointment is at 10 AM tomorrow.,not_spam
You've been selected for a prize! Act quickly.,spam
Exclusive deal just for you. Buy now and save 50%!,spam
Congratulations on winning our lucky draw!,spam
You've been selected for a prize! Act quickly.,spam
Can we reschedule our meeting to next week?,not_spam
Win a free iPhone now! Click the link below.,spam
Reminder: Your appointment is at 10 AM tomorrow.,not_spam
Happy birthday! Hope you have a great day.,not_spam
Limited time deal: Save big on your next purchase.,spam
Are you available for a call later today?,not_spam
Get a personal loan at 0% interest! Limited offer.,spam
Get a personal loan at 0% interest! Limited offer.,spam
Exclusive deal just for you. Buy now and save 50%!,spam
Win a free iPhone now! Click the link below.,spam
Don't forget to submit the project by Friday.,not_spam
Meeting rescheduled to 3 PM tomorrow.,not_spam
Congratulations on winning our lucky draw!,spam
Happy birthday! Hope you have a great day.,not_spam
Are you available for a call later today?,not_spam
Limited time deal: Save big on your next purchase.,spam
You've been selected for a prize! Act quickly.,spam
Let’s catch up this weekend at the cafe.,not_spam
Can you review the attached document?,not_spam
Don't forget to submit the project by Friday.,not_spam
"Congratulations, you have won $1,000! Claim now.",spam
Lunch at 1 PM? Let me know if that works.,not_spam
Please find the report attached for your review.,not_spam
"Congratulations, you have won $1,000! Claim now.",spam
Are you available for a call later today?,not_spam
Let’s catch up this weekend at the cafe.,not_spam
"Congratulations, you have won $1,000! Claim now.",spam
Free trial offer just for you. Don't miss out.,spam
Free trial offer just for you. Don't miss out.,spam
Get a personal loan at 0% interest! Limited offer.,spam
You've been selected for a prize! Act quickly.,spam
Don't forget to submit the project by Friday.,not_spam
Congratulations on winning our lucky draw!,spam
Are you available for a call later today?,not_spam
Congratulations on winning our lucky draw!,spam
Congratulations on winning our lucky draw!,spam
"Congratulations, you have won $1,000! Claim now.",spam
Claim your free holiday package. Offer ends today!,spam
Let’s catch up this weekend at the cafe.,not_spam
Congratulations on winning our lucky draw!,spam
Can we reschedule our meeting to next week?,not_spam
Meeting rescheduled to 3 PM tomorrow.,not_spam
Earn money from home without any investment!,spam
Win a free iPhone now! Click the link below.,spam
Free trial offer just for you. Don't miss out.,spam
Congratulations on winning our lucky draw!,spam
Lunch at 1 PM? Let me know if that works.,not_spam
"Congratulations, you have won $1,000! Claim now.",spam
Free trial offer just for you. Don't miss out.,spam
You've been selected for a prize! Act quickly.,spam
Lunch at 1 PM? Let me know if that works.,not_spam
